Entity,Code,Year,Coal Production - EJ,Gas Production - EJ,Oil Production - Tonnes
Nigeria,NGA,2003,,0.77018000841222,112.177801993457
Nigeria,NGA,2004,,0.82419108873168,121.665103182494
Nigeria,NGA,2005,,0.8274235207871421,121.143824206512
Nigeria,NGA,2006,,0.9680942967527741,115.545938039768
Nigeria,NGA,2007,,1.21083220091285,107.19365729556401
Nigeria,NGA,2008,,1.1800518747669,105.761436584499
Nigeria,NGA,2009,,0.8349097956004708,106.906600226003
Nigeria,NGA,2010,,1.11264002627129,122.09588570406099
Nigeria,NGA,2011,,1.3113293602694098,118.41607228172701
Nigeria,NGA,2012,,1.40977089161993,116.441195727976
Nigeria,NGA,2013,,1.19158455038376,109.457194561062
Nigeria,NGA,2014,,1.43937119947648,109.283754652454
Nigeria,NGA,2015,,1.7123502751631998,105.739726401886
Nigeria,NGA,2016,,1.5349327504991999,91.3242064693623
Nigeria,NGA,2017,,1.6994022822333,94.492389112045
Nigeria,NGA,2018,,1.7377039367118001,96.3609454227096
Nigeria,NGA,2019,,1.7740493499249,101.420974089364
North America,,1965,,,489.622513597695
North America,,1966,,,521.2405568816449
North America,,1967,,,557.386531321916
North America,,1968,,,581.900333779199
North America,,1969,,,596.534775838632
North America,,1970,,22.914319701894897,627.736744974461
North America,,1971,,23.674815731381802,625.158942149729
North America,,1972,,23.896009108280897,639.698654180836
North America,,1973,,24.0836545593055,640.826287491398
North America,,1974,,23.123836924769503,618.209043474838
North America,,1975,,21.694933974794303,591.500895439043
North America,,1976,,21.5564870522931,578.058211040467
North America,,1977,,21.796260732220603,592.743801034759
North America,,1978,,21.748734834624802,626.0878432434021
North America,,1979,,22.585118417442303,643.925807361462
North America,,1980,,22.3716217998588,670.650782933449
North America,,1981,19.4597828518715,22.1572179593961,682.153642677166
North America,,1982,19.795525237682103,21.0344147867885,706.30046795602
North America,,1983,18.4610381977165,19.249967548158697,708.6476908803951
North America,,1984,21.2793916956675,20.810869708330802,728.263501645074
North America,,1985,20.978244994529103,20.0217125520195,730.2442260248849
North America,,1986,21.0680424798502,19.3126854299657,704.947266369192
North America,,1987,21.727411217597197,20.1205717555481,700.589896160408
North America,,1988,22.5299310203016,21.027875749017802,696.847838147964
North America,,1989,23.267794790511697,21.439807579233197,664.718791334163
North America,,1990,24.354196244709897,22.0756267225227,654.54380002405
North America,,1991,23.5629528489504,22.192056802175102,668.928512093675
North America,,1992,23.417186926578196,22.700561763636102,663.223332912983
North America,,1993,22.163216246602,23.400797932940996,652.5644281638221
North America,,1994,24.163484789519895,24.570035019996098,648.364483692915
North America,,1995,24.1540377883846,24.6689408855409,645.673392237588
North America,,1996,24.8660514012336,25.0183865242448,659.871162330061
North America,,1997,25.450954286222,25.285581803151196,670.273682939348
North America,,1998,26.095046078888302,25.771185184021302,666.69162815545
North America,,1999,25.2779646247528,25.736886565541703,639.114905207958
North America,,2000,24.650838538746,26.2182105096171,650.404274152149
North America,,2001,25.442016685854398,26.800376990275698,653.376697015951
North America,,2002,24.361010785927,26.1244465071975,659.015227823876
North America,,2003,23.6612194936657,26.2347557533209,667.662131477214
North America,,2004,24.5705265532409,25.807403802354397,666.734202092639
North America,,2005,24.97162901217,25.6645852853491,644.191713597839
North America,,2006,25.5847434466806,26.2646516269053,644.228637969433
North America,,2007,25.3471657859788,26.7633572209513,638.73925715067
North America,,2008,25.6862740034518,27.352427459281696,617.885939237744
North America,,2009,23.3159062517131,27.5477899393011,627.6658976461171
North America,,2010,23.8787011893116,27.9333482275952,644.48417143278
North America,,2011,24.149687530361,29.5390390537065,665.694459782552
North America,,2012,22.522889507965196,30.610087732447802,726.6953881361701
North America,,2013,21.8603473789702,30.963640474871802,790.938046103858
North America,,2014,22.1396170255342,32.9406438774406,877.331254630233
North America,,2015,19.6298724983533,34.1642097180054,918.1542838340739
North America,,2016,16.325206328831,33.9412242773204,890.4542859890511
North America,,2017,17.2918391955818,34.56146448663,929.216730462346
North America,,2018,16.8535609285635,37.8031664697969,1042.1923089781599
North America,,2019,15.680290623177301,40.6071035978142,1116.48654974076
Norway,NOR,1970,,0,
Norway,NOR,1971,,0,0.292780748663102
Norway,NOR,1972,,0,1.6147058823529399
Norway,NOR,1973,,0,1.5614973262032101
Norway,NOR,1974,,0,1.7078877005347601
Norway,NOR,1975,,0,9.222593582887699
Norway,NOR,1976,,0,13.6516042780749
Norway,NOR,1977,,0.09485957699999999,14.004679144385
Norway,NOR,1978,,0.50739261885,17.3716577540107
Norway,NOR,1979,,0.7385292742499999,19.4995198533959
Norway,NOR,1980,,0.89640556641,25.049630361235398
Norway,NOR,1981,,0.89150358906,24.292340709010897
Norway,NOR,1982,,0.8560921220100001,25.231516288333502
Norway,NOR,1983,,0.8436771975599999,31.397641511149896
Norway,NOR,1984,,0.92764351935,35.954766724871796
Norway,NOR,1985,,0.9356134174200001,39.2108211011677
Norway,NOR,1986,,0.9321850881899999,43.0340497107934
Norway,NOR,1987,,1.0058311567799998,50.1152774291535
Norway,NOR,1988,,1.0122155361,56.97954212594129
Norway,NOR,1989,,1.02679912863,74.9090898177453
Norway,NOR,1990,,0.9103807842299999,82.14305149332459
Norway,NOR,1991,,0.89421513876,93.84224489795919
Norway,NOR,1992,,0.9230366360700001,106.90070255374901
Norway,NOR,1993,,0.88624148904,114.128342473353
Norway,NOR,1994,,0.95905065384,128.582961229947
Norway,NOR,1995,,0.9937799279999999,138.399687284004
Norway,NOR,1996,,1.33622850339,154.664268416457
Norway,NOR,1997,,1.53441495279,156.227930308487
Norway,NOR,1998,,1.5790717717200002,149.600210675179
Norway,NOR,1999,,1.73186139816,149.673701298701
Norway,NOR,2000,,1.77920918631,159.914072251989
Norway,NOR,2001,,1.93072375197,161.544917494312
Norway,NOR,2002,,2.34366983262,157.137094193977
Norway,NOR,2003,,2.6068586562,153.150302770448
Norway,NOR,2004,,2.82906106083,149.992867900247
Norway,NOR,2005,,3.0671560265400006,138.198506060531
Norway,NOR,2006,,3.16811821608,128.61492056782402
Norway,NOR,2007,,3.22677251262,118.19272652671101
Norway,NOR,2008,,3.57694130484,114.22225641777901
Norway,NOR,2009,,3.729626028,108.16563136698
Norway,NOR,2010,,3.8320525401300003,98.40465091891241
Norway,NOR,2011,,3.61824539922,93.1775151978916
Norway,NOR,2012,,4.09904078472,86.863632640061
Norway,NOR,2013,,3.8854887917400003,82.770592152122
Norway,NOR,2014,,3.8882797692300004,84.8004775483334
Norway,NOR,2015,,4.18458104874,87.46647064253429
Norway,NOR,2016,,4.17205997046,90.14599393398649
Norway,NOR,2017,,4.43589218415,88.684422576112
Norway,NOR,2018,,4.36632716043,83.14667472663191
Norway,NOR,2019,,4.11787331739,78.36871622565799
Oman,OMN,1967,,,2.82293080054274
Oman,OMN,1968,,,11.968249660787
Oman,OMN,1969,,,16.1947082767978
Oman,OMN,1970,,0,16.4423337856174
Oman,OMN,1971,,0,14.5603799185889
Oman,OMN,1972,,0,14.004341926729998
Oman,OMN,1973,,0,14.510854816824999
Oman,OMN,1974,,0,14.362279511533199
Oman,OMN,1975,,0,16.8880597014925
Oman,OMN,1976,,0,18.2255088195387
Oman,OMN,1977,,0,16.8385345997286
Oman,OMN,1978,,0.01089153,15.550881953867
Oman,OMN,1979,,0.0183222,14.6099050203528
Oman,OMN,1980,,0.023259015,14.1171061619801
Oman,OMN,1981,,0.02741544,16.3071644130445
Oman,OMN,1982,,0.02999412,16.7033652271558
Oman,OMN,1983,,0.03725514,19.328195620642898
Oman,OMN,1984,,0.0468234,20.753542553689197
Oman,OMN,1985,,0.05961501,24.7893627473916
Oman,OMN,1986,,0.06969222,27.859919056753803
Oman,OMN,1987,,0.07807293,29.0124023300426
Oman,OMN,1988,,0.078564915,30.929337481869602
Oman,OMN,1989,,0.08153379,32.0602454030786
Oman,OMN,1990,,0.08811621,34.239349880690604
Oman,OMN,1991,,0.08933769,35.3154961867777
Oman,OMN,1992,,0.09765054,37.0376142796987
Oman,OMN,1993,,0.09371466,38.7869069620549
Oman,OMN,1994,,0.09812556,40.4527008375053
Oman,OMN,1995,,0.13745043,42.8071924858466
Oman,OMN,1996,,0.1486134,44.36463528751229
Oman,OMN,1997,,0.16903926,44.909959996257
Oman,OMN,1998,,0.17551989,44.711859589201296
Oman,OMN,1999,,0.18498636,44.697559746179294
Oman,OMN,2000,,0.371559882965438,47.0247695707635
Oman,OMN,2001,,0.5552870753315339,46.8952659673868
Oman,OMN,2002,,0.59918752493262,44.0117299620569
Oman,OMN,2003,,0.660077636844308,40.2247820343032
Oman,OMN,2004,,0.6716713300011671,38.429546015161
Oman,OMN,2005,,0.750578357971085,37.999359874552106
Oman,OMN,2006,,0.87449249798469,36.17959907051571
Oman,OMN,2007,,0.885834632440193,34.8378395502076
Oman,OMN,2008,,0.868907363193196,37.070959123814795
Oman,OMN,2009,,0.8609029349721229,39.6596354699014
Oman,OMN,2010,,0.925119395380461,42.201626321305795
Oman,OMN,2011,,0.9766036177139179,43.2131342471096
Oman,OMN,2012,,1.01959174838591,44.999681586623204
Oman,OMN,2013,,1.1082924762378101,46.08219447671821
Oman,OMN,2014,,1.05656687116473,46.21895836007771
Oman,OMN,2015,,1.10689624378499,48.030926250619494
Oman,OMN,2016,,1.1331901073538502,49.316164463474706
Oman,OMN,2017,,1.1636429022703798,47.5643632301205
Oman,OMN,2018,,1.29710398040326,47.8241240179072
Oman,OMN,2019,,1.3082169248018503,47.3281596373061
Other Africa,,1965,,,0.10300000000000001
Other Africa,,1966,,,0.10300000000000001
Other Africa,,1967,,,0.099
Other Africa,,1968,,,0.08900000000000001
Other Africa,,1969,,,0.057999999999999996
